[2025-04-17 23:26:07] IP: 127.0.0.1, Username: john, SQLi Suspected: False
[2025-04-17 23:26:14] IP: 127.0.0.1, Username: john, SQLi Suspected: False
[2025-04-17 23:28:53] IP: 127.0.0.1, Username: ' OR 1=1 --, SQLi Suspected: True
[2025-04-17 23:29:49] IP: 127.0.0.1, Username: admin' --, SQLi Suspected: True
[2025-04-17 23:30:03] IP: 127.0.0.1, Username: john, SQLi Suspected: False
[2025-04-17 23:38:30] IP: 127.0.0.1, Username: ' OR '1'='1' --, SQLi Suspected: True
[2025-04-17 23:38:31] IP: 127.0.0.1, Username: ' OR 1=1 --, SQLi Suspected: True
[2025-04-17 23:38:32] IP: 127.0.0.1, Username: ' UNION SELECT null, null --, SQLi Suspected: True
[2025-04-17 23:38:33] IP: 127.0.0.1, Username: '; DROP TABLE users --, SQLi Suspected: True
[2025-04-17 23:38:34] IP: 127.0.0.1, Username: ' OR 'x'='x' --, SQLi Suspected: True
[2025-04-17 23:38:35] IP: 127.0.0.1, Username: admin' --, SQLi Suspected: True
[2025-04-17 23:38:36] IP: 127.0.0.1, Username: ' OR 1=1#, SQLi Suspected: True
[2025-04-17 23:42:17] IP: 127.0.0.1, Username: john, SQLi Suspected: False
[2025-04-17 23:44:39] IP: 127.0.0.1, Username: john, SQLi Suspected: False
[2025-04-17 23:45:46] IP: 127.0.0.1, Username: invalid_user, SQLi Suspected: False
[2025-04-17 23:45:46] IP: 127.0.0.1, Username: admin, SQLi Suspected: False
[2025-04-17 23:45:46] IP: 127.0.0.1, Username: guest, SQLi Suspected: False
[2025-04-17 23:45:46] IP: 127.0.0.1, Username: ' OR '1'='1, SQLi Suspected: True
[2025-04-17 23:50:12] IP: 127.0.0.1, Username: ' OR '1'='1' --, SQLi Suspected: True
[2025-04-17 23:50:13] IP: 127.0.0.1, Username: ' OR 1=1 --, SQLi Suspected: True
[2025-04-17 23:50:14] IP: 127.0.0.1, Username: ' UNION SELECT null, null --, SQLi Suspected: True
[2025-04-17 23:50:15] IP: 127.0.0.1, Username: '; DROP TABLE users --, SQLi Suspected: True
[2025-04-17 23:50:16] IP: 127.0.0.1, Username: ' OR 'x'='x' --, SQLi Suspected: True
[2025-04-17 23:50:17] IP: 127.0.0.1, Username: admin' --, SQLi Suspected: True
[2025-04-17 23:50:18] IP: 127.0.0.1, Username: ' OR 1=1#, SQLi Suspected: True
[2025-04-17 23:50:52] IP: 127.0.0.1, Username: invalid_user, SQLi Suspected: False
[2025-04-17 23:50:53] IP: 127.0.0.1, Username: admin, SQLi Suspected: False
[2025-04-17 23:50:53] IP: 127.0.0.1, Username: guest, SQLi Suspected: False
[2025-04-17 23:50:53] IP: 127.0.0.1, Username: ' OR '1'='1, SQLi Suspected: True
